Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,PitchEfficiency
34.0,0,1,9.0,2,1,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0,9.0
32.0,1,1,6.0,2,1,3,3.0,1,4.0,0,2.0,0,3,0,0.0,2,21220.0,18.0
30.0,1,3,11.0,2,0,2,3.0,3,3.0,0,3.0,0,4,1,1.0,3,24419.0,44.0
39.0,1,3,9.0,3,1,3,4.0,3,4.0,3,2.0,0,4,1,2.0,3,26029.0,36.0
37.0,0,1,31.0,2,0,3,4.0,1,4.0,1,2.0,0,3,1,2.0,2,24352.0,93.0
34.0,1,1,9.0,2,1,3,4.0,0,3.0,2,2.0,0,3,0,2.0,1,21178.0,27.0
27.0,0,1,7.0,2,0,4,6.0,0,3.0,1,5.0,0,4,1,3.0,1,23042.0,28.0
30.0,1,3,6.0,2,1,3,4.0,1,5.0,1,2.0,0,4,1,1.0,2,24714.0,24.0
53.0,0,1,32.0,3,0,3,5.0,4,3.0,1,5.0,0,5,0,2.0,0,32504.0,160.0
55.0,0,1,7.0,2,0,3,4.0,3,3.0,1,2.0,0,5,1,2.0,3,29180.0,35.0
46.0,0,1,6.0,3,1,2,4.0,3,5.0,0,3.0,1,2,1,1.0,3,25673.0,12.0
39.0,0,1,19.0,2,1,2,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0,95.0
54.0,0,2,32.0,2,0,1,2.0,4,3.0,2,3.0,1,3,1,0.0,0,32328.0,96.0
42.0,1,1,19.0,3,1,3,1.0,1,5.0,1,6.0,0,4,1,0.0,2,20538.0,76.0
33.0,1,1,12.0,2,0,3,2.0,0,3.0,1,5.0,0,5,1,2.0,1,21990.0,60.0
35.0,1,1,6.0,3,1,1,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17859.0,24.0
39.0,1,1,16.0,3,1,3,3.0,3,3.0,3,1.0,0,3,1,0.0,3,28464.0,48.0
29.0,1,1,17.0,2,0,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,22338.0,68.0
23.0,0,1,11.0,1,1,3,5.0,0,3.0,3,7.0,0,5,1,1.0,1,22572.0,55.0
37.0,0,1,15.0,3,1,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0,30.0
33.0,1,1,10.0,3,0,4,4.0,1,5.0,1,3.0,0,1,1,1.0,2,25403.0,10.0
33.0,1,1,7.0,2,1,4,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21634.0,7.0
50.0,0,1,25.0,2,1,4,4.0,1,3.0,1,3.0,1,1,0,1.0,2,25482.0,25.0
42.0,1,1,6.0,2,0,2,4.0,1,3.0,1,1.0,1,3,0,0.0,2,21062.0,18.0
43.0,0,1,33.0,3,0,3,4.0,3,5.0,1,5.0,1,3,0,1.0,3,31869.0,99.0
36.0,0,1,15.0,2,1,3,1.0,0,4.0,1,2.0,0,5,1,0.0,1,17810.0,75.0
27.0,1,3,8.0,3,0,2,1.0,1,3.0,3,1.0,0,1,0,1.0,2,21500.0,8.0
29.0,1,3,16.0,2,1,4,4.0,1,3.0,3,3.0,0,3,1,2.0,2,23931.0,48.0
34.0,1,1,12.0,2,0,4,5.0,0,3.0,0,3.0,0,2,0,3.0,1,21589.0,24.0
41.0,1,3,21.0,2,0,3,4.0,1,5.0,1,3.0,0,3,0,2.0,2,23317.0,63.0
32.0,1,3,20.0,3,1,4,5.0,1,5.0,1,7.0,1,1,1,1.0,2,20980.0,20.0
50.0,0,2,9.0,3,1,3,3.0,2,4.0,1,2.0,0,1,1,2.0,4,33200.0,9.0
24.0,0,3,30.0,3,1,2,3.0,0,3.0,1,1.0,0,4,1,1.0,1,17400.0,120.0
43.0,1,1,7.0,2,0,3,5.0,1,3.0,1,2.0,1,3,0,1.0,2,24740.0,21.0
39.0,1,1,16.0,3,1,3,3.0,1,5.0,1,3.0,0,5,1,2.0,2,20377.0,80.0
55.0,1,1,6.0,3,1,2,3.0,2,5.0,2,1.0,1,1,1,1.0,4,34045.0,6.0
33.0,0,1,10.0,2,0,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,24887.0,40.0
34.0,1,3,23.0,2,0,4,4.0,3,5.0,3,4.0,1,5,0,1.0,3,27242.0,115.0
25.0,1,1,25.0,2,1,3,4.0,0,3.0,1,2.0,0,4,0,1.0,1,21452.0,100.0
30.0,1,1,24.0,2,0,3,3.0,0,3.0,2,2.0,0,1,1,2.0,1,17632.0,24.0
32.0,0,3,12.0,3,0,3,4.0,0,4.0,1,3.0,0,3,0,1.0,1,21467.0,36.0
34.0,0,1,12.0,2,0,4,4.0,3,4.0,0,8.0,0,3,1,3.0,3,30556.0,36.0
50.0,1,1,30.0,2,1,3,3.0,4,3.0,1,4.0,1,4,1,2.0,0,28973.0,120.0
33.0,1,1,6.0,2,1,3,4.0,0,5.0,2,4.0,1,4,0,0.0,1,17799.0,24.0
36.0,0,3,18.0,3,1,3,4.0,1,3.0,1,3.0,0,5,0,1.0,2,23646.0,90.0
50.0,0,1,25.0,2,1,4,4.0,1,3.0,1,3.0,1,2,0,2.0,2,25482.0,50.0
49.0,0,3,14.0,3,0,4,4.0,0,3.0,1,4.0,1,4,1,2.0,1,21333.0,56.0
37.0,0,3,14.0,3,0,3,2.0,1,5.0,0,4.0,0,1,1,1.0,2,23317.0,14.0
30.0,1,1,24.0,2,0,3,3.0,0,3.0,2,2.0,0,2,1,0.0,1,17632.0,48.0
23.0,1,1,7.0,2,1,4,4.0,0,3.0,3,2.0,0,3,0,3.0,1,22053.0,21.0
34.0,1,1,33.0,3,0,3,3.0,0,4.0,2,3.0,0,3,0,0.0,1,17311.0,99.0
52.0,1,3,28.0,3,1,4,4.0,1,3.0,3,2.0,1,5,0,3.0,2,24119.0,140.0
27.0,0,3,36.0,3,1,4,6.0,1,5.0,3,2.0,0,3,0,1.0,2,23647.0,108.0
40.0,0,3,30.0,2,0,3,1.0,4,4.0,3,5.0,1,3,1,2.0,0,28194.0,90.0
44.0,1,1,8.0,2,0,3,1.0,0,3.0,0,2.0,0,4,1,0.0,1,17011.0,32.0
27.0,0,1,9.0,2,1,3,4.0,0,5.0,1,8.0,1,5,0,1.0,1,20720.0,45.0
42.0,0,1,12.0,2,1,4,5.0,0,5.0,1,8.0,0,3,1,1.0,1,20785.0,36.0
28.0,1,3,9.0,3,1,3,4.0,0,5.0,1,2.0,0,5,0,2.0,1,21719.0,45.0
59.0,1,1,12.0,1,0,3,5.0,3,4.0,1,4.0,1,5,1,2.0,3,29230.0,60.0
40.0,1,3,28.0,2,1,3,5.0,1,3.0,0,5.0,1,1,0,2.0,2,24798.0,28.0
29.0,0,2,7.0,2,1,3,4.0,0,3.0,1,3.0,0,4,0,2.0,1,21384.0,28.0
35.0,1,1,15.0,2,0,3,4.0,1,5.0,1,5.0,0,5,1,1.0,2,23799.0,75.0
34.0,1,2,15.0,1,0,2,3.0,0,3.0,0,2.0,0,1,1,0.0,1,17742.0,15.0
36.0,1,1,10.0,2,1,2,4.0,1,3.0,2,2.0,0,5,1,1.0,2,20810.0,50.0
41.0,0,1,16.0,2,1,3,4.0,4,5.0,1,5.0,0,2,1,0.0,0,32181.0,32.0
46.0,0,1,6.0,3,1,2,4.0,3,5.0,1,3.0,1,1,1,1.0,3,25673.0,6.0
27.0,1,3,36.0,3,1,3,4.0,1,3.0,1,7.0,0,5,1,1.0,2,22984.0,180.0
32.0,0,3,27.0,2,1,4,2.0,0,3.0,1,2.0,0,5,1,1.0,1,21469.0,135.0
38.0,1,1,26.0,2,1,4,4.0,0,4.0,1,6.0,0,4,0,2.0,1,21700.0,104.0
34.0,0,3,29.0,3,1,4,4.0,1,4.0,1,2.0,0,1,0,1.0,2,24824.0,29.0
51.0,1,2,11.0,2,1,2,3.0,4,4.0,1,2.0,1,3,1,1.0,0,29026.0,33.0
40.0,1,1,8.0,3,0,2,4.0,0,3.0,2,1.0,1,3,1,1.0,1,17342.0,24.0
49.0,1,1,13.0,2,1,2,4.0,3,3.0,3,1.0,0,1,1,0.0,3,25965.0,13.0
48.0,1,1,16.0,2,0,4,4.0,0,3.0,2,6.0,0,3,1,1.0,1,20783.0,48.0
29.0,1,3,26.0,3,1,2,3.0,1,3.0,1,3.0,0,1,1,0.0,2,21931.0,26.0
25.0,0,3,31.0,3,1,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,21078.0,124.0
35.0,1,3,23.0,2,1,3,3.0,1,5.0,1,4.0,1,3,0,2.0,2,23966.0,69.0
30.0,1,3,17.0,3,0,3,5.0,1,4.0,1,3.0,1,5,1,1.0,2,26946.0,85.0
35.0,1,1,29.0,2,1,2,4.0,1,3.0,1,4.0,1,4,1,0.0,2,20916.0,116.0
36.0,1,1,8.0,2,0,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17543.0,40.0
50.0,1,3,5.0,3,1,2,3.0,2,3.0,1,5.0,1,5,0,1.0,4,34331.0,25.0
44.0,1,3,32.0,3,1,4,5.0,3,3.0,1,7.0,0,4,1,2.0,3,29476.0,128.0
38.0,1,3,8.0,3,1,2,3.0,3,4.0,3,1.0,0,4,1,0.0,3,22351.0,32.0
37.0,1,1,14.0,2,1,4,4.0,0,4.0,2,4.0,0,1,0,3.0,1,20691.0,14.0
32.0,1,2,9.0,2,1,4,5.0,1,5.0,0,5.0,0,3,0,2.0,2,25088.0,27.0
42.0,0,3,17.0,2,1,3,4.0,1,3.0,3,2.0,0,2,0,2.0,2,24908.0,34.0
50.0,1,1,34.0,3,1,3,2.0,0,3.0,0,2.0,1,2,1,2.0,1,18221.0,68.0
25.0,0,1,14.0,2,0,3,4.0,0,3.0,1,3.0,1,4,0,1.0,1,21564.0,56.0
19.0,1,1,15.0,2,1,2,3.0,0,5.0,2,2.0,0,3,0,0.0,1,17552.0,45.0
41.0,1,3,17.0,3,1,4,5.0,3,4.0,1,4.0,0,4,0,1.0,3,28383.0,68.0
47.0,0,1,25.0,3,0,3,4.0,3,3.0,0,7.0,0,3,1,1.0,3,29205.0,75.0
32.0,0,3,27.0,3,0,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0,54.0
44.0,1,3,34.0,3,0,2,1.0,4,3.0,0,4.0,1,2,1,1.0,0,28320.0,68.0
51.0,1,3,15.0,3,1,3,4.0,0,4.0,0,2.0,0,2,1,1.0,1,22553.0,30.0
37.0,1,1,7.0,2,0,2,4.0,1,3.0,1,2.0,0,1,0,0.0,2,21474.0,7.0
36.0,1,1,7.0,3,1,4,5.0,0,5.0,2,3.0,0,1,0,3.0,1,21128.0,7.0
30.0,1,1,15.0,2,1,4,6.0,0,5.0,0,3.0,1,3,1,2.0,1,20797.0,45.0
43.0,1,3,21.0,3,0,4,5.0,1,3.0,3,2.0,0,3,1,1.0,2,24922.0,63.0
28.0,1,3,9.0,2,1,4,4.0,1,3.0,3,3.0,1,4,0,2.0,2,23156.0,36.0
33.0,1,1,9.0,1,1,3,5.0,1,5.0,2,6.0,0,4,0,2.0,2,20854.0,36.0
35.0,1,1,28.0,2,0,3,2.0,3,4.0,1,1.0,0,5,1,1.0,3,26996.0,140.0
43.0,0,3,32.0,2,1,3,3.0,4,3.0,1,2.0,1,1,1,0.0,0,31959.0,32.0
26.0,1,1,11.0,1,1,3,4.0,0,3.0,0,3.0,1,3,1,1.0,1,22369.0,33.0
30.0,0,1,9.0,3,1,3,5.0,0,5.0,3,2.0,0,4,1,2.0,1,22017.0,36.0
29.0,1,3,20.0,3,0,3,4.0,1,3.0,3,5.0,1,5,1,2.0,2,28532.0,100.0
37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,2,1,2.0,2,25331.0,14.0
47.0,0,1,7.0,3,1,3,5.0,3,5.0,1,4.0,1,1,1,2.0,3,29351.0,7.0
52.0,1,1,10.0,3,0,4,4.0,4,4.0,2,5.0,0,5,0,2.0,0,32412.0,50.0
34.0,1,1,9.0,2,1,3,4.0,0,3.0,2,2.0,0,3,1,1.0,1,21178.0,27.0
33.0,0,3,16.0,3,1,3,6.0,1,3.0,1,2.0,0,1,0,2.0,2,23346.0,16.0
52.0,1,3,17.0,2,0,4,4.0,3,4.0,1,7.0,0,1,1,3.0,3,31820.0,17.0
35.0,0,1,6.0,3,1,3,3.0,0,5.0,0,5.0,0,2,0,1.0,1,17194.0,12.0
26.0,1,1,29.0,2,0,2,3.0,0,3.0,1,2.0,0,3,0,0.0,1,17886.0,87.0
53.0,1,1,15.0,3,1,3,5.0,1,4.0,0,4.0,0,2,1,2.0,2,23619.0,30.0
47.0,0,1,25.0,3,0,3,4.0,3,3.0,1,7.0,0,3,0,2.0,3,29205.0,75.0
28.0,1,1,18.0,2,1,4,4.0,0,5.0,0,2.0,0,5,1,3.0,1,20777.0,90.0
33.0,1,3,16.0,3,1,2,3.0,1,3.0,2,2.0,0,1,0,0.0,2,20487.0,16.0
