Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,PitchEfficiency
55.0,1,1,17.0,3,0,4,4.0,1,5.0,3,8.0,1,1,0,1.0,2,23118.0,17.0
39.0,1,1,9.0,2,1,3,4.0,0,3.0,3,7.0,1,4,0,2.0,1,22622.0,36.0
42.0,0,2,8.0,3,1,3,1.0,1,5.0,0,1.0,0,2,0,2.0,2,21272.0,16.0
37.0,1,1,12.0,2,0,3,5.0,0,5.0,0,2.0,1,2,1,1.0,1,98678.0,24.0
23.0,1,1,7.0,2,1,3,5.0,1,3.0,0,8.0,0,2,1,1.0,2,23453.0,14.0
33.0,0,1,31.0,2,1,4,4.0,1,3.0,0,3.0,0,4,1,1.0,2,23987.0,124.0
38.0,1,1,24.0,3,1,2,5.0,1,3.0,1,4.0,1,5,0,1.0,2,20811.0,120.0
60.0,1,1,9.0,2,0,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0,45.0
53.0,0,3,8.0,3,0,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0,8.0
37.0,1,1,33.0,2,1,4,4.0,1,3.0,1,8.0,0,3,1,1.0,2,24025.0,99.0
60.0,0,3,34.0,3,0,3,4.0,3,5.0,1,5.0,0,1,1,0.0,3,25266.0,34.0
43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,2.0,2,22950.0,108.0
35.0,1,1,22.0,3,1,2,1.0,0,4.0,1,1.0,0,4,1,1.0,1,17426.0,88.0
43.0,1,1,10.0,2,0,4,2.0,1,3.0,1,4.0,1,5,1,1.0,2,23909.0,50.0
52.0,0,1,34.0,3,0,2,1.0,4,3.0,0,3.0,1,4,0,0.0,0,28247.0,136.0
59.0,0,1,9.0,2,1,3,5.0,0,3.0,1,2.0,1,2,0,1.0,1,21058.0,18.0
36.0,1,1,33.0,3,1,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0,99.0
29.0,0,1,23.0,3,1,3,4.0,0,3.0,2,3.0,0,3,0,1.0,1,20822.0,69.0
37.0,1,1,16.0,3,1,3,5.0,1,4.0,1,4.0,1,4,0,2.0,2,27525.0,64.0
38.0,1,1,8.0,2,1,2,3.0,1,3.0,0,1.0,0,2,0,1.0,2,21553.0,16.0
31.0,0,3,6.0,2,0,2,5.0,0,3.0,2,2.0,0,3,1,1.0,1,16359.0,18.0
46.0,1,3,16.0,3,1,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0,32.0
41.0,1,3,14.0,3,1,3,4.0,0,4.0,3,3.0,0,5,0,1.0,1,23339.0,70.0
35.0,1,1,13.0,2,1,3,3.0,0,4.0,2,2.0,1,3,1,1.0,1,20363.0,39.0
29.0,1,3,16.0,2,1,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0,64.0
51.0,1,3,27.0,3,1,3,3.0,1,3.0,2,1.0,1,5,0,2.0,2,20441.0,135.0
39.0,1,1,6.0,3,1,2,2.0,3,3.0,1,1.0,0,3,1,0.0,3,24613.0,18.0
37.0,1,3,22.0,3,1,3,4.0,1,3.0,1,5.0,0,5,1,2.0,2,21334.0,110.0
33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,1.0,0,32444.0,69.0
51.0,0,3,19.0,3,0,4,4.0,3,3.0,3,6.0,0,5,1,3.0,3,27886.0,95.0
42.0,1,1,12.0,2,1,3,2.0,1,4.0,3,5.0,0,5,1,1.0,2,25548.0,60.0
33.0,1,3,15.0,1,0,4,5.0,1,4.0,0,3.0,1,2,1,1.0,2,23906.0,30.0
30.0,0,1,17.0,2,0,4,4.0,0,4.0,1,2.0,0,5,1,1.0,1,21969.0,85.0
41.0,1,3,7.0,3,1,3,6.0,1,3.0,0,4.0,1,3,1,1.0,2,26135.0,21.0
38.0,0,1,12.0,1,1,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0,60.0
28.0,0,3,9.0,2,1,3,6.0,1,3.0,3,5.0,0,4,1,2.0,2,23749.0,36.0
27.0,1,1,24.0,3,1,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0,72.0
27.0,1,1,11.0,2,0,2,3.0,0,4.0,2,2.0,1,3,0,1.0,1,17478.0,33.0
24.0,1,1,11.0,3,1,3,2.0,0,5.0,1,4.0,0,4,0,2.0,1,21497.0,44.0
34.0,0,1,22.0,2,0,3,4.0,0,3.0,2,2.0,0,5,1,2.0,1,17553.0,110.0
37.0,1,3,17.0,3,1,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0,85.0
34.0,0,1,7.0,3,1,3,4.0,1,5.0,2,1.0,0,1,0,0.0,2,20343.0,7.0
30.0,0,3,32.0,3,0,2,4.0,1,5.0,3,6.0,0,2,0,1.0,2,21696.0,64.0
27.0,1,1,23.0,1,1,2,3.0,0,4.0,1,1.0,1,4,0,0.0,1,18058.0,92.0
36.0,1,1,9.0,2,1,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0,36.0
40.0,1,1,30.0,1,1,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,90.0
38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,2.0,3,26169.0,35.0
33.0,1,3,9.0,3,1,3,5.0,1,4.0,2,2.0,1,1,1,1.0,2,28585.0,9.0
30.0,1,1,16.0,2,1,2,5.0,0,3.0,3,2.0,0,1,1,1.0,1,22661.0,16.0
52.0,1,1,6.0,2,1,3,3.0,4,3.0,1,3.0,0,1,1,2.0,0,32099.0,6.0
33.0,1,3,7.0,2,1,3,6.0,1,4.0,3,8.0,0,3,0,2.0,2,25413.0,21.0
20.0,0,1,17.0,3,0,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20537.0,85.0
38.0,0,1,29.0,2,1,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0,87.0
31.0,1,1,17.0,2,1,2,3.0,0,3.0,1,4.0,1,3,0,0.0,1,17356.0,51.0
52.0,1,1,11.0,2,1,3,4.0,0,3.0,0,2.0,1,2,1,2.0,1,21139.0,22.0
39.0,1,1,10.0,1,0,3,4.0,1,3.0,3,5.0,1,5,1,1.0,2,22995.0,50.0
40.0,1,3,11.0,2,0,3,5.0,1,3.0,1,6.0,0,5,1,2.0,2,24580.0,55.0
26.0,1,1,26.0,3,1,4,4.0,0,3.0,0,5.0,0,5,1,3.0,1,22347.0,130.0
47.0,0,3,15.0,2,1,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,27936.0,75.0
28.0,1,3,16.0,3,1,3,3.0,0,4.0,1,2.0,0,5,0,2.0,1,16052.0,80.0
19.0,0,1,15.0,3,1,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0,75.0
52.0,1,3,9.0,3,1,2,4.0,4,5.0,1,2.0,0,5,1,0.0,0,31856.0,45.0
20.0,0,3,7.0,1,0,4,6.0,0,5.0,2,2.0,0,3,1,2.0,1,21003.0,21.0
43.0,1,3,15.0,3,1,3,4.0,1,4.0,0,2.0,0,3,0,2.0,2,25503.0,45.0
30.0,1,1,8.0,2,0,4,4.0,0,3.0,1,3.0,0,1,1,3.0,1,22438.0,8.0
51.0,0,3,7.0,2,1,4,4.0,1,3.0,1,2.0,0,3,1,2.0,2,25406.0,21.0
41.0,0,1,16.0,2,1,4,5.0,1,3.0,1,2.0,0,5,0,2.0,2,23554.0,80.0
33.0,0,3,15.0,3,0,3,4.0,3,3.0,3,3.0,0,4,1,2.0,3,27676.0,60.0
22.0,0,3,16.0,3,1,3,4.0,0,3.0,3,3.0,0,4,0,1.0,1,21288.0,64.0
40.0,1,1,16.0,2,0,2,1.0,0,3.0,1,4.0,1,3,0,1.0,1,17213.0,48.0
53.0,1,3,6.0,3,0,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0,6.0
29.0,0,1,9.0,3,1,3,5.0,0,5.0,2,2.0,0,4,0,1.0,1,21239.0,36.0
44.0,0,1,16.0,3,1,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,24357.0,48.0
23.0,1,1,13.0,3,1,4,4.0,0,3.0,0,2.0,0,2,1,1.0,1,21451.0,26.0
43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0,108.0
33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0,69.0
37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,1,1,2.0,2,25331.0,7.0
37.0,1,1,16.0,2,0,2,1.0,3,3.0,1,2.0,1,1,0,1.0,3,28744.0,16.0
40.0,1,3,10.0,3,0,3,4.0,1,3.0,1,6.0,1,4,1,2.0,2,23916.0,40.0
36.0,1,1,7.0,2,0,3,2.0,0,3.0,2,5.0,0,3,1,2.0,1,21184.0,21.0
50.0,1,1,23.0,3,0,4,4.0,0,5.0,1,6.0,1,1,1,2.0,1,21265.0,23.0
21.0,0,3,6.0,1,0,3,4.0,0,4.0,2,2.0,1,5,1,2.0,1,17174.0,30.0
28.0,1,3,9.0,3,0,4,6.0,2,4.0,2,4.0,1,5,1,2.0,4,21195.0,45.0
52.0,1,1,15.0,2,1,3,5.0,3,4.0,0,7.0,0,3,1,2.0,3,31168.0,45.0
40.0,1,1,14.0,3,1,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0,56.0
29.0,1,1,12.0,3,0,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,18131.0,36.0
35.0,0,1,17.0,3,1,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0,85.0
38.0,1,3,13.0,3,1,4,4.0,1,3.0,1,6.0,0,3,1,1.0,2,25180.0,39.0
51.0,0,1,6.0,3,0,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0,12.0
22.0,0,3,16.0,3,1,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,21288.0,64.0
36.0,1,2,19.0,2,1,2,3.0,0,4.0,1,5.0,0,3,1,1.0,1,17143.0,57.0
31.0,1,1,17.0,3,1,3,3.0,1,5.0,1,2.0,1,1,1,1.0,2,21833.0,17.0
28.0,1,3,16.0,3,1,3,4.0,1,3.0,3,3.0,0,1,0,2.0,2,22783.0,16.0
50.0,1,1,7.0,1,0,3,5.0,4,3.0,2,2.0,1,3,0,1.0,0,32642.0,21.0
28.0,1,1,13.0,2,1,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0,13.0
40.0,1,1,14.0,2,0,3,3.0,1,5.0,1,3.0,1,1,0,0.0,2,21516.0,14.0
29.0,1,1,21.0,2,1,2,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17340.0,63.0
40.0,1,1,17.0,3,1,4,4.0,3,3.0,2,2.0,0,3,1,1.0,3,32142.0,51.0
29.0,0,1,7.0,3,1,3,4.0,0,3.0,2,2.0,1,4,0,1.0,1,20832.0,28.0
31.0,1,1,8.0,3,1,4,4.0,0,4.0,1,2.0,1,4,1,3.0,1,22257.0,32.0
41.0,1,1,15.0,2,1,3,3.0,0,5.0,0,3.0,0,2,0,2.0,1,17238.0,30.0
31.0,0,3,8.0,2,0,2,4.0,0,3.0,2,1.0,0,5,0,1.0,1,17785.0,40.0
21.0,1,1,7.0,2,0,3,5.0,0,4.0,3,3.0,0,4,1,1.0,1,21514.0,28.0
42.0,1,3,15.0,3,0,3,4.0,1,4.0,1,7.0,0,3,1,2.0,2,23071.0,45.0
29.0,1,3,12.0,3,1,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0,36.0
54.0,0,1,7.0,3,0,3,5.0,4,3.0,1,6.0,1,1,0,1.0,0,31643.0,7.0
59.0,0,2,8.0,2,0,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0,16.0
51.0,1,1,6.0,2,1,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17723.0,24.0
32.0,0,1,27.0,2,1,4,4.0,3,3.0,0,5.0,0,3,1,1.0,3,28502.0,81.0
37.0,0,3,15.0,1,1,3,4.0,1,3.0,1,6.0,0,3,1,2.0,2,23757.0,45.0
56.0,0,3,12.0,2,0,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0,36.0
